0,01.04.2014,30.06.2014,720
0,01.07.2014,30.09.2014,728
0,01.10.2014,31.12.2014,728
0,01.04.2015,30.06.2015,80
0,01.07.2015,30.09.2015,0
0,01.10.2015,31.12.2015,0
1,01.04.2014,30.06.2014,0
1,01.07.2014,30.09.2014,0
1,01.10.2014,31.12.2014,0
1,01.04.2015,30.06.2015,36
1,01.07.2015,30.09.2015,0
1,01.10.2015,31.12.2015,0
2,01.04.2014,30.06.2014,0
2,01.07.2014,30.09.2014,0
2,01.10.2014,31.12.2014,0
2,01.04.2015,30.06.2015,68
2,01.07.2015,30.09.2015,0
2,01.10.2015,31.12.2015,0
3,01.04.2014,30.06.2014,317
3,01.07.2014,30.09.2014,364
3,01.10.2014,31.12.2014,364
3,01.04.2015,30.06.2015,76
3,01.07.2015,30.09.2015,0
3,01.10.2015,31.12.2015,0
4,01.04.2014,30.06.2014,0
4,01.07.2014,30.09.2014,0
4,01.10.2014,31.12.2014,0
4,01.04.2015,30.06.2015,52
4,01.07.2015,30.09.2015,0
4,01.10.2015,31.12.2015,0
5,01.04.2014,30.06.2014,0
5,01.07.2014,30.09.2014,0
5,01.10.2014,31.12.2014,0
5,01.04.2015,30.06.2015,68
5,01.07.2015,30.09.2015,0
5,01.10.2015,31.12.2015,0
